編號,名稱,類別,去年EPS,五年平均EPS,近四季EPS,預測EPS,預測本益比,去年股利,去年股息,預測股利,五年平均殖利率,預測殖利率,合理價位,目前價格,K,D,五年均價,營收更新月,推(股利),推(EPS),推(KD)
1229,聯華,未知,2.46,2.27,0.91|0.35|0.2|0.94|,2.3,17.74,1.6,1.6,1.61,4.62,3.95,23,40.8,16.55,17.9,20.73|27.99|36.04|34.63|40.74|,2020/8,N,N,Y
1558,伸興,未知,11.16,12.67,4.48|1.91|1.95|3.05|,11.67,11.95,8.8,0,8.73,6.67,6.26,124.71,139.5,75.38,69.41,148.93|140.26|133.17|139.58|131.01|,2020/8,N,Y,N
2412,中華電,未知,4.23,4.9,1.04|1.01|1.07|1.11|,4.51,24.17,4.23,0,4.41,4.1,4.05,63,109,83.42,67.42,109.64|104.15|108.95|110.35|109.52|,2020/8,N,N,N
2820,華票,未知,0.93,1.07,0.24|0.22|0.27|0.28|,非數值,非數值,0.72,0,非數值,4.3,非數值,非數值,14.65,37.41,33.27,12.34|14.68|14.23|14.66|14.8|,2020/8,N,N,N
2883,開發金,未知,0.88,0.64,0.19|0.15|-0.03|0.24|,0.66,13.26,0.6,0,0.54,5.21,6.17,7.71,8.75,73.1,61.55,7.95|8.78|10.67|9.6|8.87|,2020/8,N,N,N
2884,玉山金,未知,1.7,1.49,0.48|0.33|0.39|0.41|,1.51,17.62,0.79,0.8,0.59,2.03,2.22,8.43,26.6,34.81,29.36,17.99|18.54|20.78|25.25|27.28|,2020/8,N,N,Y
2886,兆豐金,未知,2.13,2.02,0.54|0.46|0.14|0.69|,1.68,17.05,1.7,0,1.26,4.4,4.4,18,28.65,18.23,16.03,22.82|24.19|26.05|29.27|30.69|,2020/8,N,N,Y
2887,台新金,未知,1.18,1.15,0.31|0.19|0.2|0.38|,1.15,11.39,0.57,0.23,0.68,3.72,5.19,9.71,13.1,48.33,37.57,11.76|13.1|14.28|14.03|13.22|,2020/8,N,N,N
2889,國票金,未知,0.91,0.76,0.27|0.16|0.16|0.36|,1.1,10.82,0.65,0.17,0.69,4.59,5.8,9.86,11.9,90.2,79.03,7.88|9.11|10.26|10.53|11.36|,2020/8,N,Y,N
2892,第一金,未知,1.55,1.42,0.44|0.31|0.24|0.45|,1.37,15.33,1.05,0.3,0.93,4.6,4.43,13.29,21,43.9,31.44,16.31|19.13|20.27|21.93|22.27|,2020/8,N,N,N
3388,崇越電,電子零組件業,5.1,5.5,1.36|1.33|1.14|1.28|,5.07,12.41,3.6,0,4.13,6.1,6.57,59,62.9,67.84,58.8,59.99|65.74|75.31|70.15|64.55|,2020/8,N,N,N
5880,合庫金,未知,1.31,1.19,0.36|0.33|0.3|0.29|,1.24,16.09,0.85,0.3,0.69,3.6,3.46,9.86,19.95,51.08,36.61,14.06|15.69|17.66|20.09|20.33|,2020/8,N,N,N
6281,全國電,電子通路業,4.44,4.49,1.09|0.68|1.19|1.74|,5.97,11.71,4,0,5.34,6,7.64,76.29,69.9,53.61,52.87,58.97|62.53|64.29|65.57|68.17|,2020/8,Y,Y,N
6292,迅德,電子零組件業,4.28,2.84,1.07|0.53|-0.77|1.96|,2.7,12.94,3.52,0,2.58,7.84,7.38,36.86,34.95,40.71,57.93,27.85|33.45|30.1|31.62|35.62|,2020/8,Y,N,N
8112,至上,電子通路業,3.41,3.22,1.1|0.91|0.77|0.88|,3.71,7.96,2.7,0,2.84,7.51,9.61,40.57,29.55,17.2,30.97,17.74|28.76|30.7|29.87|30.87|,2020/8,Y,Y,Y
8271,宇瞻,半導體業,3.73,3.12,1.34|0.98|1.53|0.57|,4.14,8.79,2.55,0,3.33,6.36,9.15,47.57,36.4,20.76,22.81,25.86|38.89|35.7|33.27|42.92|,2020/8,Y,N,Y
2348,海悅,其他業,6.59,4.7,1.61|2.59|2.03|3.34|,21.64,4.31,4.33,0,17.17,7.04,18.4,245.29,93.3,33.68,36.93,24.44|25.91|41.14|47.5|67.05|,2020/8,Y,Y,N
2404,漢唐,其他電子業,14.77,8.21,2.97|4.11|3.91|5.84|,22,9.16,13,0,20.53,5.78,10.19,293.29,201.5,42.71,34.4,47.98|59.42|62.36|142.44|193.95|,2020/8,Y,Y,N
2436,偉詮電,半導體業,1.84,0.98,0.51|0.46|-0.73|0.87|,0.3,103.17,1.5,0,0.26,3.42,0.84,3.71,30.95,36.96,41.59,21.7|27.35|26.75|25.83|26.37|,2020/8,N,N,N
